<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;20221005;200000;210.2900000;210.8000000;210.0500000;210.3800000;753950
GAZP;60;20221005;210000;210.3800000;210.4900000;208.7000000;208.7500000;1040310
GAZP;60;20221005;220000;208.7900000;209.8900000;208.6900000;208.6900000;658400
GAZP;60;20221005;230000;208.6900000;209.2000000;208.6000000;209.0500000;353280
GAZP;60;20221006;100000;210.0200000;216.8800000;209.0600000;215.0300000;20056130
GAZP;60;20221006;110000;215.0800000;216.0000000;213.6800000;214.8000000;5896820
GAZP;60;20221006;120000;214.8000000;214.9000000;213.8000000;214.5400000;4276590
GAZP;60;20221006;130000;214.5400000;214.5500000;211.5100000;213.6600000;5511880
GAZP;60;20221006;140000;213.7300000;214.0000000;212.5000000;212.9200000;3011150
GAZP;60;20221006;150000;213.0000000;213.5000000;212.5500000;212.9800000;2042060
GAZP;60;20221006;160000;212.9800000;213.0000000;212.1500000;212.8900000;2521680
GAZP;60;20221006;170000;212.8300000;213.9200000;212.6700000;213.5700000;2718710
GAZP;60;20221006;180000;213.5000000;213.5000000;212.5000000;213.0000000;1588150
GAZP;60;20221006;190000;213.0000000;213.7000000;212.7000000;213.0000000;1012700
GAZP;60;20221006;200000;212.9900000;213.2200000;212.9300000;213.2000000;567540
GAZP;60;20221006;210000;213.2000000;213.5000000;213.0200000;213.0700000;614450
GAZP;60;20221006;220000;213.0700000;213.1500000;212.2000000;212.7800000;1353410
GAZP;60;20221006;230000;212.7000000;213.0000000;212.7000000;212.8600000;447130
GAZP;60;20221007;100000;212.8400000;212.8400000;205.2800000;209.1600000;15561560
GAZP;60;20221007;110000;209.1400000;209.2500000;206.0600000;206.0800000;5845090
GAZP;60;20221007;120000;206.0800000;207.2800000;204.6100000;206.8300000;9044980
GAZP;60;20221007;130000;206.9000000;207.6900000;206.7000000;207.1800000;3749190
GAZP;60;20221007;140000;207.1600000;208.0000000;206.8600000;207.9000000;4315350
GAZP;60;20221007;150000;207.8600000;208.9800000;207.4900000;208.3900000;5647200
GAZP;60;20221007;160000;208.3800000;208.5500000;205.5700000;205.6500000;7439940
GAZP;60;20221007;170000;205.6400000;206.7500000;200.8800000;202.8000000;13042610
GAZP;60;20221007;180000;202.9000000;203.5000000;200.1300000;201.4000000;11754220
GAZP;60;20221007;190000;200.8300000;202.9000000;197.3300000;198.7000000;6671760
GAZP;60;20221007;200000;198.7000000;201.9000000;198.0300000;200.2200000;4310540
GAZP;60;20221007;210000;200.2200000;200.4900000;198.2000000;198.6000000;3278290
GAZP;60;20221007;220000;198.5000000;198.6400000;197.1000000;197.8000000;4006390
GAZP;60;20221007;230000;197.7900000;197.8000000;195.0100000;195.1500000;6824720
GAZP;60;20221010;100000;164.9800000;166.0000000;137.1000000;158.3900000;49109190
GAZP;60;20221010;110000;158.4900000;163.2000000;158.2400000;160.9300000;24931870
GAZP;60;20221010;120000;160.9300000;161.9700000;159.3100000;160.5900000;7852070
GAZP;60;20221010;130000;160.6000000;162.0000000;160.3600000;161.9600000;5226400
GAZP;60;20221010;140000;161.8600000;163.3800000;161.5200000;162.1700000;6339180
GAZP;60;20221010;150000;162.1900000;164.3800000;161.0000000;164.3000000;6159270
GAZP;60;20221010;160000;164.2700000;165.0000000;163.5000000;163.5600000;6663240
GAZP;60;20221010;170000;163.5500000;164.0000000;162.4000000;163.8000000;4814310
GAZP;60;20221010;180000;163.9100000;164.0000000;163.0200000;163.8000000;1693130
GAZP;60;20221010;190000;163.8000000;164.6700000;163.0000000;163.2500000;1381130
GAZP;60;20221010;200000;163.2500000;164.2900000;163.2400000;164.0800000;972280
GAZP;60;20221010;210000;164.0000000;164.1300000;163.6200000;163.9400000;525320
GAZP;60;20221010;220000;163.8800000;164.5000000;163.8600000;164.1600000;685720
GAZP;60;20221010;230000;164.1000000;164.2300000;163.4500000;163.8900000;504050
GAZP;60;20221011;100000;163.9000000;165.2000000;160.0000000;160.6900000;12577940
GAZP;60;20221011;110000;160.6200000;162.6500000;159.6200000;162.4700000;4525290
GAZP;60;20221011;120000;162.5100000;163.4400000;162.0000000;163.2600000;3168400
GAZP;60;20221011;130000;163.1700000;163.2600000;162.0000000;162.5400000;1656350
GAZP;60;20221011;140000;162.5700000;163.5000000;162.3800000;163.5000000;1926670
GAZP;60;20221011;150000;163.5000000;163.5000000;162.0000000;162.8700000;2819450
GAZP;60;20221011;160000;162.8700000;163.3900000;162.3600000;163.1500000;1794420
GAZP;60;20221011;170000;163.1400000;163.4000000;162.8300000;163.3000000;1615720
GAZP;60;20221011;180000;163.3000000;163.4000000;162.8000000;163.0000000;1434310
GAZP;60;20221011;190000;163.3000000;163.4600000;162.8000000;163.1900000;493310
GAZP;60;20221011;200000;163.1700000;163.3000000;163.0000000;163.1900000;343110
GAZP;60;20221011;210000;163.1900000;163.3200000;163.0200000;163.1600000;346900
GAZP;60;20221011;220000;163.2200000;163.2500000;162.9300000;162.9900000;278870
GAZP;60;20221011;230000;162.9900000;163.1700000;162.8900000;162.8900000;225530
GAZP;60;20221012;100000;163.5000000;164.0000000;161.2500000;162.4700000;5742460
GAZP;60;20221012;110000;162.4400000;162.5200000;160.5200000;161.1800000;3204320
GAZP;60;20221012;120000;161.1900000;161.2500000;160.3100000;160.8000000;1567880
GAZP;60;20221012;130000;160.8000000;161.9500000;160.6800000;161.8000000;1088110
GAZP;60;20221012;140000;161.8000000;162.5000000;161.6700000;161.8000000;1647300
GAZP;60;20221012;150000;161.7800000;162.2600000;161.4000000;162.1000000;1056880
GAZP;60;20221012;160000;162.0300000;162.9600000;161.9700000;162.4300000;1299130
GAZP;60;20221012;170000;162.4200000;162.7000000;162.0000000;162.1300000;731110
GAZP;60;20221012;180000;162.1200000;162.2300000;161.6500000;161.9700000;767230
GAZP;60;20221012;190000;161.9700000;162.1700000;161.7000000;161.9800000;376860
GAZP;60;20221012;200000;161.9900000;162.0500000;161.9200000;161.9300000;193450
GAZP;60;20221012;210000;161.9900000;162.0500000;161.9200000;161.9300000;178470
GAZP;60;20221012;220000;161.9300000;161.9800000;161.9200000;161.9500000;158000
GAZP;60;20221012;230000;161.9500000;161.9500000;161.7600000;161.8000000;150110
